"All Antimicrobial Agents
List of all antimicrobial agents used in DOT Calculator",,,,,,,,"All Drug Product Doses
List of available antimicrobial agents and doses used in Drug Doses Calculator",,,,,,,,,"All Drug Products
Full list of available antimicrobial agents, doses, and formulations used in Drug Product Calculator ",,,,,,,,,,Drug Frequency Conversions,,,Distance Comparisons,,,,Drug Doses per Day,
Meropenem,IV,Incinerate,0.0002260237264,0.0006780711792,0.148,0.444,,Vancomycin,IV,Landfill,1750 mg,0.0000119639640,0.0000239279280,0.182,0.365,,Nafcillin,IV,Landfill,2 g,mini-bag plus,0.0000083657136,0.0000501942817,0.085,0.512,,,,,1200,1350,"Dallas → Washington, D.C.",,,
Meropenem-vaborbactam,IV,Incinerate,0.0003616631209,0.0010849893627,0.274,0.821,,Vancomycin,IV,Landfill,2000 mg,0.0000124132678,0.0000248265356,0.156,0.312,,Nafcillin,IV,Landfill,1 g,frozen premix,0.0000069943665,0.0000419661987,0.035,0.210,,,,,1350,1550,Houston → Los Angeles,,,
Metronidazole,IV,Incinerate,0.0001136827424,0.0003410482273,0.087,0.261,,Acyclovir,IV,Incinerate,250 mg,0.0001827414826,0.0005482244477,0.091,0.273,,Nafcillin,IV,Landfill,2 g,frozen premix,0.0000126402798,0.0000758416787,0.042,0.252,,,,,1550,1700,Minneapolis → Los Angeles,,,
Micafungin,IV,Incinerate,0.0003521395267,0.0003521395267,0.195,0.195,,Acyclovir,IV,Incinerate,500 mg,0.0001960815599,0.0005882446797,0.097,0.290,,Penicillin G,IV,Landfill,3 million units,frozen premix,0.0000069943665,0.0000419661987,0.035,0.210,,,,,1700,1800,Chicago → Phoenix,,,
Minocycline,IV,Incinerate,0.0002114851047,0.0004229702094,0.131,0.263,,Acyclovir,IV,Incinerate,750 mg,0.0002809089282,0.0008427267847,0.136,0.408,,Pentamidine,IV,Landfill,300 mg,locally compounded,0.0000149881367,0.0000149881367,0.176,0.176,,,,,1800,1950,New York City → Denver,,,
Nafcillin,IV,Incinerate,0.0000670610805,0.0004023664827,0.054,0.325,,Acyclovir,IV,Incinerate,1000 mg,0.0002871297182,0.0008613891547,0.138,0.413,,Piperacillin-tazobactam,IV,Landfill,2.25 g,frozen premix,0.0000073660940,0.0000294643760,0.046,0.184,,,,,1950,2050,India North → South Distance,,,
Penicillin,IV,Incinerate,0.0000499003691,0.0002994022147,0.035,0.210,,Amikacin,IV,Incinerate,1200 mg,0.0001553152739,0.0004659458217,0.098,0.295,,Piperacillin-tazobactam,IV,Landfill,3.375 g,frozen premix,0.0000073660940,0.0000294643760,0.046,0.184,,,,,2050,2100,Moon Diameter,,,
Pentamidine,IV,Incinerate,0.0002894324207,0.0002894324207,0.176,0.176,,Amphotericin B liposomal (Ambisome) ,IV,Incinerate,480 mg,0.0009593156297,0.0009593156297,0.792,0.792,,Piperacillin-tazobactam,IV,Landfill,4.5 g,frozen premix,0.0000130120073,0.0000520480294,0.053,0.213,,,,,2100,2200,Appalachian Trail Length,,,
Piperacillin-tazobactam,IV,Incinerate,0.0000707171047,0.0002828684189,0.048,0.194,,Ampicillin,IV,Incinerate,2 g,0.0000986671292,0.0005920027752,0.089,0.531,,Posaconazole,IV,Landfill,300 mg,locally compounded,0.0000149209606,0.0000149209606,0.227,0.227,,,,,2200,2300,Seattle → Houston,,,
Posaconazole,IV,Incinerate,0.0004023304840,0.0004023304840,0.227,0.227,,Ampicillin-sulbactam,IV,Incinerate,1.5 g,0.0001175374879,0.0004701499517,0.089,0.355,,Remdesivir,IV,Landfill,100 mg,locally compounded,0.0000351751237,0.0000351751237,0.274,0.274,,,,,2300,2400,Mississippi River Length,,,
Remdesivir,IV,Incinerate,0.0004048770224,0.0004048770224,0.271,0.271,,Ampicillin-sulbactam,IV,Incinerate,3 g,0.0001184546274,0.0004738185097,0.094,0.378,,Remdesivir,IV,Landfill,100 mg,mini-bag plus,0.0000309866972,0.0000309866972,0.214,0.214,,,,,2400,2490,Miami → Denver,,,
Rifampin,IV,Incinerate,0.0001841738989,0.0005525216967,0.131,0.393,,Azithromycin,IV,Incinerate,500 mg,0.0003222207777,0.0003222207777,0.195,0.195,,Remdesivir,IV,Landfill,200 mg,locally compounded,0.0000602087067,0.0000602087067,0.325,0.325,,,,,2490,2600,Monarch Butterfly Migration,,,
Sulfamethoxazole-trimethoprim,IV,Incinerate,0.0002165135582,0.0006495406747,0.151,0.453,,Aztreonam,IV,Incinerate,1 g,0.0001756673772,0.0005270021317,0.109,0.327,,Rifampin,IV,Landfill,600 mg,locally compounded,0.0000179195210,0.0000537585630,0.131,0.393,,,,,2600,2700,New York City → Salt Lake City,,,
Tigecycline,IV,Incinerate,0.0002054372369,0.0004108744737,0.125,0.251,,Aztreonam,IV,Incinerate,2 g,0.0001383853857,0.0004151561570,0.114,0.342,,Sulfamethoxazole-trimethoprim,IV,Landfill,2000 mg-400 mg,locally compounded,0.0000162990759,0.0000488972277,0.151,0.453,,,,,2700,2800,Pacific Crest Trail Length,,,
Vancomycin,IV,Incinerate,0.0002062785800,0.0004125571601,0.130,0.259,,Caspofungin,IV,Incinerate,70 mg,0.0003662561467,0.0003662561467,0.211,0.211,,Tigecycline,IV,Landfill,50 mg,locally compounded,0.0000094958514,0.0000189917027,0.134,0.268,,,,,2800,3000,New York City → Los Angeles,,,
,,,,,,,,Cefazolin,IV,Incinerate,1 g,0.0001094811470,0.0003284434411,0.062,0.185,,Tigecycline,IV,Landfill,50 mg,mini-bag plus,0.0000081481054,0.0000162962107,0.117,0.233,,,,,3000,3100,Rocky Mountain Range Length,,,
,,,,,,,,Cefazolin,IV,Incinerate,2 g,0.0001361476002,0.0004084428005,0.076,0.228,,Vancomycin,IV,Landfill,500 mg,locally compounded,0.0000124899854,0.0000249799707,0.097,0.194,,,,,3100,3200,Boston → San Francisco,,,
,,,,,,,,Cefazolin,IV,Incinerate,3 g,0.0003735836569,0.0003735836569,0.209,0.209,,Vancomycin,IV,Landfill,750 mg,locally compounded,0.0000048992822,0.0000097985644,0.117,0.235,,,,,3200,3300,Miami → Seattle,,,
,,,,,,,,Cefepime,IV,Incinerate,1 g,0.0001137286407,0.0003411859222,0.084,0.253,,Vancomycin,IV,Landfill,1 g,locally compounded,0.0000052826850,0.0000105653699,0.125,0.249,,,,,3300,3500,New York City → London,,,
,,,,,,,,Cefepime,IV,Incinerate,2 g,0.0001152594106,0.0003457782317,0.088,0.264,,Vancomycin,IV,Landfill,500 mg,frozen premix,0.0000141271900,0.0000282543800,0.086,0.173,,,,,3500,3700,New York City → Bogotá,,,
,,,,,,,,Cefiderocol,IV,Incinerate,1000 mg,0.0002161054509,0.0006483163527,0.120,0.359,,Vancomycin,IV,Landfill,750 mg,frozen premix,0.0000253705287,0.0000507410574,0.098,0.197,,,,,3700,3900,Los Angeles → Honolulu,,,
,,,,,,,,Cefiderocol,IV,Incinerate,2000 mg,0.0001651688069,0.0004955064207,0.112,0.336,,Vancomycin,IV,Landfill,1 g,frozen premix,0.0000248219531,0.0000496439062,0.095,0.191,,,,,3900,4000,Chicago → London,,,
,,,,,,,,Cefoxitin,IV,Incinerate,1000 mg,0.0001938873998,0.0007755495994,0.124,0.497,,Vancomycin,IV,Landfill,1250 mg,locally compounded,0.0000147331064,0.0000294662127,0.199,0.398,,,,,4000,4100,Nile River Length,,,
,,,,,,,,Cefoxitin,IV,Incinerate,2000 mg,0.0001573504062,0.0006294016247,0.115,0.459,,Vancomycin,IV,Landfill,1500 mg,locally compounded,0.0000111355618,0.0000222711235,0.175,0.351,,,,,4100,4200,New York City → Lima,,,
,,,,,,,,Ceftaroline,IV,Incinerate,600 mg,0.0001883343162,0.0005650029487,0.129,0.386,,Vancomycin,IV,Landfill,1750 mg,locally compounded,0.0000119639640,0.0000239279280,0.182,0.365,,,,,4200,4400,Amazon River Length,,,
,,,,,,,,Ceftazidime,IV,Incinerate,1000 mg,0.0002140796076,0.0006422388227,0.161,0.482,,Vancomycin,IV,Landfill,2000 mg,locally compounded,0.0000124132678,0.0000248265356,0.156,0.312,,,,,4400,4700,"Washington, D.C. → London",,,
,,,,,,,,Ceftazidime,IV,Incinerate,2000 mg,0.0001762260912,0.0005286782737,0.149,0.448,,Acyclovir,IV,Incinerate,250 mg,locally compounded,0.0001827414826,0.0005482244477,0.091,0.273,,,,,4700,4900,Miami → Paris,,,
,,,,,,,,Ceftazidime-avibactam,IV,Incinerate,2.5 g,0.0001771458939,0.0005314376817,0.126,0.377,,Acyclovir,IV,Incinerate,500 mg,locally compounded,0.0001960815599,0.0005882446797,0.097,0.290,,,,,4900,5000,Humpback Whale Migration,,,
,,,,,,,,Ceftolozane-tazobactam,IV,Incinerate,1.5 g,0.0001771442409,0.0005314327227,0.125,0.376,,Acyclovir,IV,Incinerate,750 mg,locally compounded,0.0002809089282,0.0008427267847,0.136,0.408,,,,,5000,5200,San Francisco → Tokyo,,,
,,,,,,,,Ceftolozane-tazobactam,IV,Incinerate,3 g,0.0001539328149,0.0004617984447,0.153,0.458,,Acyclovir,IV,Incinerate,1000 mg,locally compounded,0.0002871297182,0.0008613891547,0.138,0.413,,,,,5200,5500,New York City → Cairo,,,
,,,,,,,,Ceftriaxone,IV,Incinerate,1 g,0.0002720523195,0.0002720523195,0.168,0.168,,Amikacin,IV,Incinerate,1200 mg,locally compounded,0.0001553152739,0.0004659458217,0.098,0.295,,,,,5500,5700,Russia East → West Distance,,,
,,,,,,,,Ceftriaxone,IV,Incinerate,2 g,0.0002721063175,0.0002721063175,0.176,0.176,,Amphotericin B liposomal (Ambisome) ,IV,Incinerate,480 mg,locally compounded,0.0009593156297,0.0009593156297,0.792,0.792,,,,,5700,5900,Los Angeles → London,,,
,,,,,,,,Cefuroxime,IV,Incinerate,750 mg,0.0002253052867,0.0004506105734,0.144,0.288,,Ampicillin,IV,Incinerate,2 g,mini-bag plus,0.0000986671292,0.0005920027752,0.089,0.531,,,,,5900,6100,New York City → Tehran,,,
,,,,,,,,Cefuroxime,IV,Incinerate,1500 mg,0.0002253036337,0.0004506072674,0.148,0.295,,Ampicillin-sulbactam,IV,Incinerate,1.5 g,mini-bag plus,0.0001175374879,0.0004701499517,0.089,0.355,,,,,6100,6200,London → Beijing,,,
,,,,,,,,Ciprofloxacin,IV,Incinerate,400 mg,0.0001426453687,0.0002852907374,0.094,0.189,,Ampicillin-sulbactam,IV,Incinerate,3 g,mini-bag plus,0.0001184546274,0.0004738185097,0.094,0.378,,,,,6200,6400,San Francisco → Sydney,,,
,,,,,,,,Clindamycin,IV,Incinerate,300 mg,0.0000874129726,0.0002622389177,0.056,0.167,,Azithromycin,IV,Incinerate,500 mg,vial-mate,0.0003327222867,0.0003327222867,0.199,0.199,,,,,6400,6600,Paris → Bangkok,,,
,,,,,,,,Clindamycin,IV,Incinerate,600 mg,0.0000874129726,0.0002622389177,0.056,0.167,,Azithromycin,IV,Incinerate,500 mg,locally compounded,0.0003117192687,0.0003117192687,0.192,0.192,,,,,6600,6800,New York City → Johannesburg,,,
,,,,,,,,Clindamycin,IV,Incinerate,900 mg,0.0000874129726,0.0002622389177,0.056,0.167,,Aztreonam,IV,Incinerate,1 g,locally compounded,0.0002135208936,0.0006405626807,0.120,0.361,,,,,6800,7000,New York City → Tokyo,,,
,,,,,,,,Colistimethate,IV,Incinerate,150 mg,0.0002440626124,0.0004881252247,0.140,0.279,,Aztreonam,IV,Incinerate,1 g,mini-bag plus,0.0001378138609,0.0004134415827,0.098,0.293,,,,,7000,7100,London → Cape Town,,,
,,,,,,,,Daptomycin,IV,Incinerate,500 mg,0.0003944757954,0.0003944757954,0.223,0.223,,Aztreonam,IV,Incinerate,2 g,mini-bag plus,0.0001383853857,0.0004151561570,0.114,0.342,,,,,7100,7300,London → Bangkok,,,
,,,,,,,,Daptomycin,IV,Incinerate,750 mg,0.0004341037154,0.0004341037154,0.255,0.255,,Caspofungin,IV,Incinerate,70 mg,locally compounded,0.0003662561467,0.0003662561467,0.211,0.211,,,,,7300,7400,Los Angeles → Hong Kong,,,
,,,,,,,,Doxycycline,IV,Incinerate,100 mg,0.0001849371441,0.0003698742882,0.133,0.265,,Cefazolin,IV,Incinerate,1 g,locally compounded,0.0001294665415,0.0003883996245,0.066,0.198,,,,,7400,7500,"Washington, D.C. → Nairobi",,,
,,,,,,,,Ertapenem,IV,Incinerate,500 mg,0.0003398402884,0.0003398402884,0.212,0.212,,Cefazolin,IV,Incinerate,2 g,locally compounded,0.0001797423161,0.0005392269483,0.087,0.262,,,,,7500,7800,London → Singapore,,,
,,,,,,,,Ertapenem,IV,Incinerate,1 g,0.0002957078975,0.0002957078975,0.199,0.199,,Cefazolin,IV,Incinerate,3 g,locally compounded,0.0000894957526,0.0002684872577,0.209,0.209,,,,,7800,7900,Los Angeles → Sydney,,,
,,,,,,,,Erythromycin,IV,Incinerate,500 mg,0.0001751162992,0.0007004651967,0.103,0.412,,Cefazolin,IV,Incinerate,1 g,frozen premix,0.0000925528842,0.0002776586527,0.057,0.172,,,,,7900,8000,New York City → Manila,,,
,,,,,,,,Fluconazole,IV,Incinerate,200 mg,0.0002572685671,0.0002572685671,0.162,0.162,,Cefazolin,IV,Incinerate,2 g,frozen premix,0.0003735836569,0.0003735836569,0.064,0.193,,,,,8000,8200,New York City → Hong Kong,,,
,,,,,,,,Fluconazole,IV,Incinerate,400 mg,0.0002690932475,0.0002690932475,0.213,0.213,,Cefepime,IV,Incinerate,1 g,mini-bag plus,0.0001379615289,0.0004138845867,0.111,0.334,,,,,8200,8400,Los Angeles → Dubai,,,
,,,,,,,,Ganciclovir,IV,Incinerate,225 mg,0.0002236067374,0.0004472134747,0.131,0.261,,Cefepime,IV,Incinerate,2 g,mini-bag plus,0.0001379659369,0.0004138978107,0.112,0.335,,,,,8400,8500,Paris → Santiago,,,
,,,,,,,,Gentamicin,IV,Incinerate,400 mg,0.0001750965596,0.0005252896788,0.121,0.364,,Cefepime,IV,Incinerate,1 g,frozen premix,0.0000894957526,0.0002684872577,0.057,0.172,,,,,8500,8700,Paris → Buenos Aires,,,
,,,,,,,,Imipenem-cilastatin,IV,Incinerate,1000 mg,0.0002778353722,0.0011113414887,0.199,0.797,,Cefepime,IV,Incinerate,2 g,frozen premix,0.0000925528842,0.0002776586527,0.064,0.193,,,,,8700,9000,New York City → Jakarta,,,
,,,,,,,,Isavuconazonium,IV,Incinerate,372 mg,0.0003430033957,0.0003430033957,0.226,0.226,,Cefiderocol,IV,Incinerate,1000 mg,locally compounded,0.0002161054509,0.0006483163527,0.120,0.359,,,,,9000,9300,New York City → Manila,,,
,,,,,,,,Levofloxacin,IV,Incinerate,250 mg,0.0002620808174,0.0002620808174,0.169,0.169,,Cefiderocol,IV,Incinerate,2000 mg,locally compounded,0.0001651688069,0.0004955064207,0.112,0.336,,,,,9300,9400,"Washington, D.C. → Sydney",,,
,,,,,,,,Levofloxacin,IV,Incinerate,500 mg,0.0002620252766,0.0002620252766,0.169,0.169,,Cefoxitin,IV,Incinerate,1000 mg,locally compounded,0.0001938873998,0.0007755495994,0.124,0.497,,,,,9400,9500,San Francisco → Cape Town,,,
,,,,,,,,Levofloxacin,IV,Incinerate,750 mg,0.0002674127342,0.0002674127342,0.172,0.172,,Cefoxitin,IV,Incinerate,2000 mg,locally compounded,0.0001965127312,0.0007860509247,0.127,0.508,,,,,9500,9700,London → Santiago,,,
,,,,,,,,Linezolid,IV,Incinerate,600 mg,0.0001565750528,0.0003131501055,0.138,0.277,,Cefoxitin,IV,Incinerate,2000 mg,mini-bag plus,0.0001181880812,0.0004727523247,0.102,0.409,,,,,9700,10000,Los Angeles → Singapore,,,
,,,,,,,,Meropenem,IV,Incinerate,500 mg,0.0001382663697,0.0004147991090,0.111,0.333,,Ceftaroline,IV,Incinerate,600 mg,locally compounded,0.0002386894716,0.0007160684147,0.144,0.433,,,,,10000,11000,London → Sydney,,,
,,,,,,,,Meropenem,IV,Incinerate,1 g,0.0001383655497,0.0004150966490,0.118,0.354,,Ceftaroline,IV,Incinerate,600 mg,mini-bag plus,0.0001379791609,0.0004139374827,0.113,0.338,,,,,11000,12000,New York City → Perth,,,
,,,,,,,,Meropenem,IV,Incinerate,2 g,0.0002459117959,0.0007377353877,0.181,0.544,,Ceftazidime,IV,Incinerate,1000 mg,locally compounded,0.0002140796076,0.0006422388227,0.161,0.482,,,,,12000,13000,Madrid → Auckland,,,
,,,,,,,,Meropenem-vaborbactam,IV,Incinerate,4 g,0.0003616631209,0.0010849893627,0.274,0.821,,Ceftazidime,IV,Incinerate,2000 mg,locally compounded,0.0002140796076,0.0006422388227,0.161,0.482,,,,,13000,14000,Great Wall of China Length,,,
,,,,,,,,Metronidazole,IV,Incinerate,500 mg,0.0001136827424,0.0003410482273,0.087,0.261,,Ceftazidime,IV,Incinerate,2000 mg,mini-bag plus,0.0001383725749,0.0004151177247,0.138,0.414,,,,,14000,15000,Jupiter Great Red Spot Diameter,,,
,,,,,,,,Micafungin,IV,Incinerate,100 mg,0.0003521395267,0.0003521395267,0.195,0.195,,Ceftazidime-avibactam,IV,Incinerate,2.5 g,locally compounded,0.0002163082189,0.0006489246567,0.138,0.414,,,,,15000,17000,New York City → Perth Long-Haul Flight Path,,,
,,,,,,,,Minocycline,IV,Incinerate,100 mg,0.0002049669584,0.0004099339167,0.123,0.247,,Ceftazidime-avibactam,IV,Incinerate,2.5 g,mini-bag plus,0.0001379835689,0.0004139507067,0.113,0.340,,,,,17000,18000,Uranus Circumference,,,
,,,,,,,,Minocycline,IV,Incinerate,200 mg,0.0002245213974,0.0004490427947,0.147,0.294,,Ceftolozane-tazobactam,IV,Incinerate,1.5 g,locally compounded,0.0002163065659,0.0006489196977,0.138,0.414,,,,,18000,22000,Geostationary Orbit Altitude,,,
,,,,,,,,Nafcillin,IV,Incinerate,2 g,0.0000499003691,0.0002994022147,0.064,0.382,,Ceftolozane-tazobactam,IV,Incinerate,1.5 g,mini-bag plus,0.0001379819159,0.0004139457477,0.113,0.339,,,,,22000,25000,Earth Circumference,,,
,,,,,,,,Nafcillin,IV,Incinerate,1 g,0.0000756414361,0.0004538486167,0.035,0.210,,Ceftolozane-tazobactam,IV,Incinerate,3 g,locally compounded,0.0001539328149,0.0004617984447,0.153,0.458,,,,,25000,1000000000,Greater than Earth Circumference,,,
,,,,,,,,Penicillin G ,IV,Incinerate,3 million units,0.0000499003691,0.0002994022147,0.035,0.210,,Ceftriaxone,IV,Incinerate,1 g,mini-bag plus,0.0002962273527,0.0002962273527,0.190,0.190,,,,,,,,,,
,,,,,,,,Pentamidine,IV,Incinerate,300 mg,0.0002894324207,0.0002894324207,0.176,0.176,,Ceftriaxone,IV,Incinerate,2 g,mini-bag plus,0.0002963353487,0.0002963353487,0.206,0.206,,,,,,,,,,
,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,2.25 g,0.0000696980608,0.0002787922434,0.046,0.184,,Ceftriaxone,IV,Incinerate,1 g,frozen premix,0.0002478772864,0.0002478772864,0.146,0.146,,,,,,,,,,
,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,3.375 g,0.0000696980608,0.0002787922434,0.046,0.184,,Ceftriaxone,IV,Incinerate,2 g,frozen premix,0.0002478772864,0.0002478772864,0.146,0.146,,,,,,,,,,
,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,4.5 g,0.0000727551925,0.0002910207700,0.053,0.213,,Cefuroxime,IV,Incinerate,750 mg,mini-bag plus,0.0002731374130,0.0005462748260,0.126,0.252,,,,,,,,,,
,,,,,,,,Posaconazole,IV,Incinerate,300 mg,0.0004023304840,0.0004023304840,0.227,0.227,,Cefuroxime,IV,Incinerate,750 mg,locally compounded,0.0002731473310,0.0005462946620,0.162,0.324,,,,,,,,,,
,,,,,,,,Remdesivir,IV,Incinerate,100 mg,0.0003782756607,0.0003782756607,0.244,0.244,,Cefuroxime,IV,Incinerate,1500 mg,locally compounded,0.0001774731604,0.0003549463207,0.163,0.326,,,,,,,,,,
,,,,,,,,Remdesivir,IV,Incinerate,200 mg,0.0004580797457,0.0004580797457,0.325,0.325,,Cefuroxime,IV,Incinerate,1500 mg,mini-bag plus,0.0001774599364,0.0003549198727,0.133,0.265,,,,,,,,,,
,,,,,,,,Rifampin,IV,Incinerate,600 mg,0.0001841738989,0.0005525216967,0.131,0.393,,Ciprofloxacin,IV,Incinerate,400 mg,premix,0.0001426453687,0.0002852907374,0.094,0.189,,,,,,,,,,
,,,,,,,,Sulfamethoxazole-trimethoprim,IV,Incinerate,2000 mg-400 mg,0.0002165135582,0.0006495406747,0.151,0.453,,Clindamycin,IV,Incinerate,300 mg,premix,0.0000874129726,0.0002622389177,0.056,0.167,,,,,,,,,,
,,,,,,,,Tigecycline,IV,Incinerate,50 mg,0.0002054372369,0.0004108744737,0.125,0.251,,Clindamycin,IV,Incinerate,600 mg,premix,0.0000874129726,0.0002622389177,0.056,0.167,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,500 mg,0.0001293914310,0.0002587828620,0.092,0.184,,Clindamycin,IV,Incinerate,900 mg,premix,0.0000874129726,0.0002622389177,0.056,0.167,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,750 mg,0.0001693658170,0.0003387316340,0.108,0.216,,Colistimethate,IV,Incinerate,150 mg,locally compounded,0.0002440626124,0.0004881252247,0.140,0.279,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,1 g,0.0001738797404,0.0003477594808,0.110,0.220,,Daptomycin,IV,Incinerate,500 mg,locally compounded,0.0003944757954,0.0003944757954,0.223,0.223,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,1250 mg,0.0002486023702,0.0004972047405,0.164,0.328,,Daptomycin,IV,Incinerate,750 mg,locally compounded,0.0004341037154,0.0004341037154,0.255,0.255,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,1500 mg,0.0002777457409,0.0005554914817,0.175,0.351,,Doxycycline,IV,Incinerate,100 mg,locally compounded,0.0001781930419,0.0003563860837,0.136,0.273,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,1750 mg,0.0002918828922,0.0005837657844,0.182,0.365,,Doxycycline,IV,Incinerate,100 mg,mini-bag plus,0.0001916812464,0.0003833624927,0.129,0.258,,,,,,,,,,
,,,,,,,,Vancomycin,IV,Incinerate,2000 mg,0.0002992808202,0.0005985616404,0.156,0.312,,Ertapenem,IV,Incinerate,500 mg,locally compounded,0.0003398402884,0.0003398402884,0.212,0.212,,,,,,,,,,
,,,,,,,,,,,,,,,,,Ertapenem,IV,Incinerate,1 g,mini-bag plus,0.0002957078975,0.0002957078975,0.199,0.199,,,,,,,,,,
,,,,,,,,,,,,,,,,,Erythromycin,IV,Incinerate,500 mg,locally compounded,0.0001751162992,0.0007004651967,0.103,0.412,,,,,,,,,,
,,,,,,,,,,,,,,,,,Fluconazole,IV,Incinerate,200 mg,premix,0.0002572685671,0.0002572685671,0.162,0.162,,,,,,,,,,
,,,,,,,,,,,,,,,,,Fluconazole,IV,Incinerate,400 mg,premix,0.0002690932475,0.0002690932475,0.213,0.213,,,,,,,,,,
,,,,,,,,,,,,,,,,,Ganciclovir,IV,Incinerate,225 mg,locally compounded,0.0002236067374,0.0004472134747,0.131,0.261,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gentamicin,IV,Incinerate,400 mg,locally compounded,0.0001750965596,0.0005252896788,0.121,0.364,,,,,,,,,,
,,,,,,,,,,,,,,,,,Imipenem-cilastatin,IV,Incinerate,1000 mg,locally compounded,0.0002778353722,0.0011113414887,0.199,0.797,,,,,,,,,,
,,,,,,,,,,,,,,,,,Isavuconazonium,IV,Incinerate,372 mg,locally compounded,0.0003430033957,0.0003430033957,0.226,0.226,,,,,,,,,,
,,,,,,,,,,,,,,,,,Levofloxacin,IV,Incinerate,250 mg,premix,0.0002620808174,0.0002620808174,0.169,0.169,,,,,,,,,,
,,,,,,,,,,,,,,,,,Levofloxacin,IV,Incinerate,500 mg,premix,0.0002620252766,0.0002620252766,0.169,0.169,,,,,,,,,,
,,,,,,,,,,,,,,,,,Levofloxacin,IV,Incinerate,750 mg,premix,0.0002674127342,0.0002674127342,0.172,0.172,,,,,,,,,,
,,,,,,,,,,,,,,,,,Linezolid,IV,Incinerate,600 mg,premix,0.0001565750528,0.0003131501055,0.138,0.277,,,,,,,,,,
,,,,,,,,,,,,,,,,,Meropenem,IV,Incinerate,500 mg,mini-bag plus,0.0001382663697,0.0004147991090,0.111,0.333,,,,,,,,,,
,,,,,,,,,,,,,,,,,Meropenem,IV,Incinerate,1 g,mini-bag plus,0.0001383655497,0.0004150966490,0.118,0.354,,,,,,,,,,
,,,,,,,,,,,,,,,,,Meropenem,IV,Incinerate,2 g,locally compounded,0.0003535953789,0.0010607861367,0.227,0.682,,,,,,,,,,
,,,,,,,,,,,,,,,,,Meropenem,IV,Incinerate,2 g,mini-bag plus,0.0001382282129,0.0004146846387,0.135,0.406,,,,,,,,,,
,,,,,,,,,,,,,,,,,Meropenem-vaborbactam,IV,Incinerate,4 g,locally compounded,0.0003616631209,0.0010849893627,0.274,0.821,,,,,,,,,,
,,,,,,,,,,,,,,,,,Metronidazole,IV,Incinerate,500 mg,premix,0.0001136827424,0.0003410482273,0.087,0.261,,,,,,,,,,
,,,,,,,,,,,,,,,,,Micafungin,IV,Incinerate,100 mg,locally compounded,0.0003521395267,0.0003521395267,0.195,0.195,,,,,,,,,,
,,,,,,,,,,,,,,,,,Minocycline,IV,Incinerate,100 mg,mini-bag plus,0.0002327549904,0.0004655099807,0.112,0.225,,,,,,,,,,
,,,,,,,,,,,,,,,,,Minocycline,IV,Incinerate,100 mg,locally compounded,0.0001771789264,0.0003543578527,0.134,0.268,,,,,,,,,,
,,,,,,,,,,,,,,,,,Minocycline,IV,Incinerate,200 mg,locally compounded,0.0002245213974,0.0004490427947,0.147,0.294,,,,,,,,,,
,,,,,,,,,,,,,,,,,Nafcillin,IV,Incinerate,2 g,mini-bag plus,0.0000499003691,0.0002994022147,0.085,0.512,,,,,,,,,,
,,,,,,,,,,,,,,,,,Nafcillin,IV,Incinerate,1 g,frozen premix,0.0000529575008,0.0003177450047,0.035,0.210,,,,,,,,,,
,,,,,,,,,,,,,,,,,Nafcillin,IV,Incinerate,2 g,frozen premix,0.0000983253715,0.0005899522287,0.042,0.252,,,,,,,,,,
,,,,,,,,,,,,,,,,,Penicillin G,IV,Incinerate,3 million units,frozen premix,0.0000499003691,0.0002994022147,0.035,0.210,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pentamidine,IV,Incinerate,300 mg,locally compounded,0.0002894324207,0.0002894324207,0.176,0.176,,,,,,,,,,
,,,,,,,,,,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,2.25 g,frozen premix,0.0000696980608,0.0002787922434,0.046,0.184,,,,,,,,,,
,,,,,,,,,,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,3.375 g,frozen premix,0.0000696980608,0.0002787922434,0.046,0.184,,,,,,,,,,
,,,,,,,,,,,,,,,,,Piperacillin-tazobactam,IV,Incinerate,4.5 g,frozen premix,0.0000727551925,0.0002910207700,0.053,0.213,,,,,,,,,,
,,,,,,,,,,,,,,,,,Posaconazole,IV,Incinerate,300 mg,locally compounded,0.0004023304840,0.0004023304840,0.227,0.227,,,,,,,,,,
,,,,,,,,,,,,,,,,,Remdesivir,IV,Incinerate,100 mg,locally compounded,0.0004591982757,0.0004591982757,0.274,0.274,,,,,,,,,,
,,,,,,,,,,,,,,,,,Remdesivir,IV,Incinerate,100 mg,mini-bag plus,0.0002973530457,0.0002973530457,0.214,0.214,,,,,,,,,,
,,,,,,,,,,,,,,,,,Remdesivir,IV,Incinerate,200 mg,locally compounded,0.0004580797457,0.0004580797457,0.325,0.325,,,,,,,,,,
